date,RAD,TMAX,TMIN,RAIN,WIND
19052,6.7,31,17.3,0,54.2
19053,18.4,37.9,13.5,0,47.8
19054,20.3,36,13.6,0,38.3
19055,19.2,34.9,15,0,36.9
19056,19.9,35.2,12.7,0,42
19057,19.2,33.5,12.1,0,39.3
19058,17.9,32.6,13.1,0,36.5
19059,19.4,32,11.4,0,35.7
19060,21.1,31.7,8.8,0,35.3
19061,20.9,34.6,12,0,36
19062,20.2,35.6,13.4,0,40.1
19063,21,35.9,11.5,0,42.7
19064,19.8,37.5,12.2,0,43.2
19065,20,38.3,13,0,44.2
19066,21.5,38,12.6,0,41
19067,21.8,37,11.6,0,41
19068,22.1,36.5,12.9,0,42.4
19069,21.5,37.3,13.5,0,39.7
19070,21.5,38.4,14.1,0,40.6
19071,19.7,37,15.8,0,34
19072,19.3,36.7,16.6,0,34.4
19073,20.5,37.8,15.9,0,34.7
19074,20.6,38.8,15.1,0,40.3
19075,21.1,39.7,15.3,0,43
19076,21.2,40.8,16.3,0,42.5
19077,20.8,40.4,17.3,0,45.9
19078,20.5,40.6,19.9,0,42.5
19079,21.1,39.5,22.1,0,37
19080,20.6,38.8,21.7,0,40.7
19081,20.4,38,25.1,0,32.8
19082,18.1,36.3,22.7,0,33.9
19083,19.1,38.1,20.8,0,44
19084,20.8,38.9,22.9,0,43.2
19085,21.9,36.8,26.2,0,39.2
19086,21,38.1,20.9,0,44.2
19087,21.6,39.6,21.7,0,45.8
19088,20.5,39.7,25.2,0,38.9
19089,18.5,39.7,25.4,0,39.5
19090,19.2,37.5,28.6,0,41
19091,18.2,39.9,24.9,0,46.7
19092,15.8,37.4,29.7,0,45.7
19093,16.1,37.2,28.5,0,45.9
19094,20.2,38.1,26.7,0,45.9
19095,21.8,39.6,24,0,37.4
19096,20.4,40.5,24,0,37.3
19097,21.5,39.9,23.3,0,36.4
19098,21.8,40.5,23.3,0,33
19099,23.3,40.7,19.8,0,38
19100,23.7,41.2,18.7,0,38
19101,24,40.9,19.8,0,34.7
19102,19.8,38.8,18.6,0,35.4
19103,23.4,39.4,16.9,0,37.1
19104,23.7,40.4,17,0,39.4
19105,23.5,41.2,19.5,0,39
19106,22.8,41.4,20.6,0,36.1
19107,22.4,40.7,25.7,0,29.8
19108,21.9,41.6,26.1,0,33.4
19109,22.6,41.1,27.8,0,32
19110,22.7,40.2,26.2,0,40.3
19111,23.3,40,27.3,0,37.4
19112,23.3,39.9,23.9,0,39.9
19113,23.9,40.1,20.2,0,39.6
19114,22.5,40.3,20.4,0,40.6
19115,23.3,41.8,21.4,0,41.8
19116,21.4,41,26.5,0,36.2
19117,11.2,33.8,23.5,32.6,81.8
19118,22.4,39.8,26.6,0,64
19119,21.7,40.5,27.5,0,50.6
19120,21.1,39.5,28.4,0,47.7
19121,20.4,39.3,28.9,0,47.7
19122,23,39.5,27.9,0,46.4
19123,22.6,38.7,26.6,0,46.6
19124,23.2,40.3,22.2,0,43.8
19125,23.8,42.4,22.6,0,41
19126,22.3,41.2,30.5,0.1,41.5
19127,22.8,44.1,29.5,0,39.2
19128,23.4,42.1,29.1,0,41.5
19129,23.9,41.1,27.5,0,45.2
19130,23,39.9,28.5,0,46.5
19131,23.3,40.5,28.3,0,45.8
19132,23.5,41.2,27.5,0,41.4
19133,23.8,42.4,27.6,0,35.2
19134,22.9,41.7,25.6,0,36.5
19135,19.8,38.1,27.1,0,42.2
19136,21.6,37.6,28.8,0,45.7
19137,22.7,39.1,26.5,0,48.8
19138,20.1,37.1,25.4,4.9,59.4
19139,23.1,40.4,26.7,0,42.2
19140,22.5,39,26.2,0,43.4
19141,23.1,40.5,25.6,0,43.7
19142,22.9,40.8,28.3,0,34.7
19143,21.8,41.4,25.3,0,38.7
19144,17.7,37.9,29.8,0,43.7
19145,17.6,37.4,26.8,0.1,54.7
19146,18.3,37.1,27.1,0,56.8
19147,22.9,38.9,27.3,0,48.9
19148,18.3,37.3,27.4,0,47
19149,22.1,41.2,25.9,0,44.1
19150,21.8,40.5,28.8,0,43.3
19151,19.5,38.7,27.7,0,43.9
19152,19.3,38,28.8,0,46.3
19153,19.6,39.2,28.2,0,47.6
19154,22.6,41.1,25.5,0,44.8
19155,21.5,39,29.3,0,42.7
19156,22.4,36.4,27.1,0,52.3
19157,19.7,37.3,28.1,0,53.1
19158,21.3,39.4,28.4,0,45.8
19159,21.6,39.8,28.1,0,43.8
19160,20.8,41.1,28.2,0,42.5
19161,13.3,34.4,22.3,5.7,68.1
19162,17.9,35.1,25.7,0,70.5
19163,10.6,30,23.1,5.8,80.5
19164,20.3,37.2,23.4,16.1,78
19165,23,37,24.3,0,71.6
19166,15.6,36.2,28.1,0,64.6
19167,17.5,38.3,26.4,0,68.4
19168,20.8,38,27.9,0,60.6
19169,23,38.7,27,0,56.1
19170,22.6,39.9,28.5,0,54.9
19171,21.8,37.6,26.3,0,55.9
19172,19,38.5,26.9,0.5,57.5
19173,22.7,36.1,23.3,2,70.3
19174,20.9,35.1,21.8,10.2,76.9
19175,22.7,36.6,25.9,0,63.3
19176,23,37.2,26.8,0,60.8
19177,22.3,36.8,27.2,0,61
19178,18.7,35.6,22.1,15.7,65.5
19179,16.7,31.7,23.8,2.2,80
19180,20,35.6,25.4,0,72.7
19181,19.5,35.1,24,9.5,76.4
19182,21.7,33.6,24,0.2,82.3
19183,15.3,33.8,22.1,16.7,86.3
19184,21.4,34.2,23.3,0.1,80.8
19185,18.8,34.5,26.6,0,74
19186,13.4,29.7,21.8,52.7,83.6
19187,21.4,32.4,21.8,9.6,84.3
19188,16.8,32.1,25,0.4,81.7
19189,21.7,31.7,22,0.7,86.3
19190,19.9,31.7,25.2,0.2,81.3
19191,16.7,31.3,23.5,0.1,81
19192,15.6,31.8,25.4,0.1,79.6
19193,22.7,32.9,22.4,3.4,82.8
19194,17.2,30.7,22.3,0.5,91.5
19195,20.1,32,23.3,0.3,85.9
19196,18.1,32.3,25,0.2,83
19197,8.4,27.1,22,1.9,93.8
19198,19.2,31.3,24.1,0.3,84.5
19199,6.5,27.5,23.2,0.3,91.4
19200,22.9,31.3,23.1,0.2,85.8
19201,17.2,30.4,21.8,0.3,89.6
19202,20.5,31.2,24,0.2,83.3
19203,18.7,29.9,21.3,0.5,93.2
19204,20.6,33.2,25.2,0.2,84.6
19205,7.4,25.9,22.3,0.2,95.4
19206,18.9,30.5,23.2,0.3,89
19207,21.9,32.8,23.3,0.2,84.7
19208,14.3,29.6,21.2,1.1,92.8
19209,15.9,30.1,22.1,0.3,93.4
19210,17.7,30.3,21.2,0.2,91.4
19211,10.1,26.4,22.1,0.3,97.1
19212,19.6,30.8,23.7,0.2,90.1
19213,19.4,31.2,25.1,0.2,88.6
19214,14.4,28.7,21.8,3.8,94.6
19215,21.2,32.1,22.4,0.2,85.8
19216,17,30.3,24.1,0.4,91
19217,19,31.4,24.8,0.2,87.2
19218,8.4,28.3,22,0.2,94
19219,20.8,30.8,22.2,0.2,90
19220,22.3,31.5,23.3,0.2,86
19221,11.3,28,23.9,0.1,91.7
19222,20.2,32.8,24.3,0.1,88.3
19223,15.2,31.8,24.3,0.1,89.8
19224,14,30.7,24,8.1,90.1
19225,15.9,30.7,23.8,0.1,90
19226,21.2,33.7,25,0,86.3
19227,20.7,31.3,22.7,25.8,90.6
19228,20.9,30.5,23.9,9.1,91.6
19229,9.9,27.6,23.1,13.2,95.2
19230,15.1,29.2,21.6,17.6,94.9
19231,16.1,29.8,22.1,2.4,94.7
19232,18,31.4,23.7,0.2,92.2
19233,16.8,30.6,22.6,33.9,96.3
19234,16.1,30,22.7,20.2,91.7
19235,15.9,29.8,22.8,0.8,90.7
19236,14.7,29.2,23.4,8.7,91.7
19237,4.1,24.9,21.8,7.3,99.8
19238,10.4,27.7,21.8,1.7,99.3
19239,17.2,29.6,22.2,1,92.1
19240,14.6,30,22.7,0.9,93
19241,11,29,23.6,1,95.7
19242,15,28.4,23.1,0.8,95.6
19243,16.8,30.1,23.1,0.8,95.3
19244,17.1,30.5,23,0.7,93.6
19245,11.7,26.6,22.1,0.6,98.2
19246,22.3,31.3,23,0.5,91
19247,18.5,31.4,22,0.5,93.5
19248,22.5,32.3,21.7,4.4,90.9
19249,13.5,29.4,21.6,0.9,96.1
19250,11.2,28.4,21.5,0.7,97
